"country","male_emigrants","female_emigrants","total_emigrants","male_percent_emigrants","female_percent_emigrants","male_immigrants","female_immigrants","total_immigrants","male_percent_immigrants","female_percent_immigrants","Remittances","labourforce_female","labourforce_male","Inheritance_law","Violence_against_women_law","Violence_against_women_attitudes","percentage_violence","FGM_law","Citizenship_rights","Inequality_voting_rights","percentage_women_parliament","Insecurity_feeling","Access_to_justice","Child_marriage_law","Girls_married","total"
"Afghanistan",2728785,2392174,5120959,53.2866012010641,46.7133987989359,74974,74788,149762,50.0620985296671,49.9379014703329,"4.3829370302392006",23.0993640510176,76.9006359489824,0.75,0.75,80.2,60.8,1,0,0.25,27.7,62,0.75,1,35,8.21941796236586
"Albania",619182,587910,1207092,51.2953445139227,48.7046554860773,25054,24106,49160,50.9641985353946,49.0358014646054,"9.56257905392494",43.942236030046,56.057763969954,0.25,0.5,29.8,24.6,1,0,0,27.9,70.2,0,0.5,7.2,4.29628119659207
"Algeria",1041695,903340,1945035,53.5566198037567,46.4433801962433,131596,117479,249075,52.8338853758908,47.1661146241092,"1.0396842731820157",19.3455945980372,80.6544054019628,1,0.5,48.2,63.5,1,1,0.25,25.8,58.6,0.75,0.5,3.1,7.38733467315923
"Angola",325565,336037,661602,49.2085876403034,50.7914123596966,341719,327760,669479,51.042527099431,48.957472900569,"0.00497116967790612",49.8228183702489,50.1771816297511,0.5,0.75,25.2,34.8,1,0,0.25,30.5,52.4,0.25,0.5,24.7,5.28241850569128
"Argentina",490127,523362,1013489,48.3603670094101,51.6396329905899,1018573,1194306,2212879,46.0293129448108,53.9706870551892,"0.12538082984771184",42.3760560305369,57.6239439694631,0,0.75,11.6,28,1,0,0,38.9,61.3,0,0.5,12.9,4.31427588996655
"Armenia",517302,447562,964864,53.613980830459,46.386019169541,78001,112158,190159,41.0188316093374,58.9811683906626,"11.21892040004801",51.9425229201123,48.0574770798877,0.25,0.75,10.1,8.2,1,0,0.25,18.1,58.9,0.25,0.5,4.8,3.7895825812399
"Australia",277461,299877,577338,48.0586762000769,51.9413237999231,3744438,3804832,7549270,49.6000010597051,50.3999989402949,"0.12660611383273679",46.9447188016382,53.0552811983618,0,0.75,3.2,16.9,0,0,0.5,28.7,78,0,0.5,0.6,2.86656994828589
"Austria",268094,307917,576011,46.5432083762289,53.4567916237711,873536,906321,1779857,49.0789990431816,50.9210009568184,"0.67384525095575076",46.7049517461732,53.2950482538268,0,0.25,3,13,0,0,0.5,34.4,50.9,0,0.5,2.8,1.71821032875222
"Azerbaijan",622051,533816,1155867,53.8168318673342,46.1831681326658,121640,132247,253887,47.9110785506938,52.0889214493062,"2.6469932465702586",49.7891364483963,50.2108635516037,0,0.75,28,13.5,1,0,0.25,16.8,66.7,0.25,0.5,9,4.14070332643561
"Bangladesh",5216213,2619167,7835380,66.572559339815,33.427440660185,1124293,1061320,2185613,51.4406255819306,48.5593744180694,"5.22831662185425",32.0089038875019,67.9910961124981,1,0.75,28.3,53.3,1,0.75,0.25,20.3,66.9,0.75,0.5,45.2,7.93190596174024
"Barbados",52107,60873,112980,46.1205523101434,53.8794476898566,15638,19169,34807,44.927744419226,55.072255580774,"0",49.9732309853083,50.0267690146917,0,0.75,3.3,33.2,1,0.75,0.5,16.7,55.4,0,0.5,0,4.15448898525907
"Belarus",629785,851053,1480838,42.5289599537559,57.4710400462441,489770,579625,1069395,45.7987927753543,54.2012072246457,"2.2027756117510231",49.9657314686907,50.0342685313093,0,0.75,4.1,25,1,0,0.5,34.5,67.9,0.25,0.5,8.4,4.34912846790618
"Belgium",277126,304687,581813,47.6314554676503,52.3685445323497,979191,1002728,1981919,49.4062068126901,50.5937931873099,"2.3011169655666395",46.775155191018,53.224844808982,0,0.5,2,24,0,0,0,38,73.4,0,0.5,2.2,2.76589905455665
"Belize",28354,39797,68151,41.6046719784009,58.3953280215991,30180,29818,59998,50.3016767225574,49.6983232774426,"4.0064866591552493",38.0516442485042,61.9483557514958,0,0.75,5.2,29,1,0,0.5,9.4,68.4,0,0.5,17.5,3.85131484634326
"Benin",358733,307634,666367,53.8341484497282,46.1658515502718,183593,206519,390112,47.0616130752194,52.9383869247806,"1.5077673354185519",45.3106076485602,54.6893923514398,0.5,0.5,36,68.6,0.25,0.75,0.5,7.2,46.9,0.25,0.5,16.6,4.91129937698097
"Bhutan",25248,23985,49233,51.2826762537323,48.7173237462677,45220,8034,53254,84.9138092913208,15.0861907086792,"2.2344805072405407",40.2772524036434,59.7227475963566,0,0.5,68.4,26.5,1,0,0.5,8.5,69,0,0.25,16.3,4.19515781772155
"Bolivia",416061,462167,878228,47.3750552248391,52.6249447751609,81818,74296,156114,52.4091369127689,47.5908630872311,"3.2659485340946404",43.0300142187706,56.9699857812294,0.25,0.25,16.1,64.1,1,0,0.25,53.1,63.9,0.25,0.5,12,5.17587344666186
"Bosnia_and_Herzegovina",801762,851434,1653196,48.4976977926392,51.5023022073608,17017,18718,35735,47.6199804113614,52.3800195886386,"11.545961707728173",40.1958881196064,59.8041118803936,0.25,0.5,4.8,13.1,1,0,0.25,21.4,56.7,0.25,0.5,0.7,3.39107054685519
"Botswana",51059,35445,86504,59.0250161842227,40.9749838157773,62943,47653,110596,56.9125465658794,43.0874534341206,"0.35553639979103385",47.0598079579098,52.9401920420902,0.25,0.75,54.8,13.1,0,0.25,0.5,9.5,71.1,0.75,0.5,7.1,4.45869512100827
"Brazil",737992,1007462,1745454,42.2808048794182,57.7191951205818,435661,371345,807006,53.9848526528923,46.0151473471077,"0.17155103494284504",43.7362183623331,56.2637816376669,0,0.25,8.5,33.5,1,0,0.25,10.7,66.9,0,0.75,15.4,3.51263917961829
"Bulgaria",666516,875415,1541931,43.2260587536018,56.7739412463982,82718,85798,168516,49.0861401884688,50.9138598115312,"3.3988830479249845",46.1811217578017,53.8188782421983,0,0.75,18.2,23,1,0,0.5,23.8,64.2,0,0.5,1.5,3.83432628591924
"Burkina_Faso",884065,697025,1581090,55.9149068047992,44.0850931952008,341830,376508,718338,47.5862337785277,52.4137662214723,"2.8881639389211582",45.1063369933415,54.8936630066585,0.25,0.75,43.5,11.5,0.25,0,0,11,38.2,0,1,32.4,3.86474036521938
"Burundi",306332,317700,624032,49.0891492743962,50.9108507256038,158163,162855,321018,49.2691998579519,50.7308001420481,"0",51.797460176617,48.202539823383,1,0.5,72.9,46.7,0,1,0,36.4,61,0.25,0.5,9.9,6.40578401677782
"Cabo_Verde",83574,102798,186372,44.8425729186788,55.1574270813212,7922,7742,15664,50.5745658835546,49.4254341164454,"10.892130482151989",44.5642994720925,55.4357005279075,0,0.5,17.3,12.6,1,0,0.25,23.6,55.3,0.25,0.5,10.6,3.55675486264519
"Cambodia",509405,588570,1097975,46.3949543477766,53.6050456522234,42379,36270,78649,53.8837111724243,46.1162888275757,"5.62809759609692",47.0174772718352,52.9825227281648,0.25,0.5,50.4,20.9,1,0.25,0.5,20.3,71.1,0.75,0.5,16.6,5.62412536505746
"Cameroon",188962,194140,383102,49.3242008655658,50.6757991344342,250177,255515,505692,49.4722083798043,50.5277916201957,"0.89624876853819624",47.2210153120101,52.7789846879899,0.25,0.75,36.1,51.1,0.5,0.75,0.25,31.1,57.2,0.25,1,22.3,6.30057436302462
"Canada",510314,812773,1323087,38.5699504265404,61.4300495734596,3786190,4174467,7960657,47.5612754072936,52.4387245927064,"0.075302596993212872",47.2984284557854,52.7015715442146,0,0.25,7.8,1.9,0.25,0,0.5,27,80.4,0,0.75,1.7,2.55519921971445
"Central_African_Republic",385710,382179,767889,50.229916042553,49.770083957447,48004,42645,90649,52.9559068494964,47.0440931505036,"0",45.2395676170087,54.7604323829913,0.25,0.25,79.6,29.8,0.25,1,0.5,8.6,54.9,0.25,0.5,60.9,5.74634103899437
"Chad",111901,94505,206406,54.2140247861012,45.7859752138988,236334,275896,512230,46.1382582043223,53.8617417956777,"0",40.7810071498273,59.2189928501727,0.5,0.75,73.5,28.6,0.25,0,0.25,12.8,36,0.75,0.5,40.5,5.30013567835557
"Chile",305869,344386,650255,47.0383157376721,52.9616842623279,442929,497063,939992,47.1205074085737,52.8794925914263,"0.024901856820757757",42.0307598473457,57.9692401526543,0,0.75,10.3,6.7,1,0,0,22.6,67.5,0,0.5,5.9,3.56608087383754
"China",4970636,5764171,10734807,46.3039158505598,53.6960841494402,632550,398321,1030871,61.3607328172002,38.6392671827998,"0.12811199701310311",45.1052328097885,54.8947671902115,0,0.75,32.7,32,1,0,0,24.2,70.1,0,0.25,3.2,4.13486422575286
"Colombia",1308010,1561295,2869305,45.5863005152816,54.4136994847184,575805,566514,1142319,50.4066727420274,49.5933272579726,"2.2021393714325219",42.3451042532599,57.6548957467401,0,0.25,11.1,37.4,1,0,0.25,18.7,66.7,0,0.5,14.5,3.51667309482196
"Comoros",58787,61511,120298,48.8678116011904,51.1321883988096,6047,6457,12504,48.3605246321177,51.6394753678823,"14.10410556886179",37.5119241344481,62.4880758655519,1,0.75,39,6.4,1,1,0.5,6.1,52.6,0.25,0.5,19.6,5.90124720965376
"Congo,_Rep.",120947,118460,239407,50.519408371518,49.480591628482,220238,181904,402142,54.7662268551905,45.2337731448095,"0.20582113861911072",49.7350935768903,50.2649064231097,0.25,0.75,54.2,22.5,1,1,0.25,11.3,51.4,0.25,0.5,22.2,5.80297603645736
"Costa_Rica",63755,86660,150415,42.3860652195592,57.6139347804408,201934,215834,417768,48.3363972348289,51.6636027651711,"0.85904686765525051",41.0647095628383,58.9352904371617,0.5,0.75,3.5,36,1,0,0,35.1,64.7,0,0.5,8.4,4.72064253347338
"Cote_dIvoire",551589,562458,1114047,49.5121839563322,50.4878160436678,1411575,1137566,2549141,55.3745359711369,44.6254640288631,"0.56080225001142514",42.9067302161229,57.0932697838771,0.25,0.75,47.9,25.9,0.25,0,0.25,10.6,32.1,0.25,0.5,22.6,3.5841846482084
"Croatia",478540,511628,990168,48.3291724232655,51.6708275767345,239681,278402,518083,46.2630505150719,53.7369494849281,"6.8675083913600821",45.8009302889486,54.1990697110514,0,0.25,4.4,13,0,0,0,18.5,63.3,0.25,0.5,2,1.89721236920198
"Cyprus",106278,108386,214664,49.5090001118026,50.4909998881974,85208,106714,191922,44.3972030303978,55.6027969696022,"2.0638693288884911",45.6239072081168,54.3760927918832,0,0.25,10.5,15,0.75,0,0.5,17.9,80.7,0,0.5,3.2,2.91685011583437
"Czechia",402492,508977,911469,44.1586055038624,55.8413944961376,293245,219460,512705,57.195658322037,42.804341677963,"1.5283963206397879",44.5258082360365,55.4741917639635,0,0.75,2,21,1,0,0.5,22,77.1,0.25,0.5,0.2,4.00308916214567
"Congo_Dem_Rep.",833029,851686,1684715,49.4462861670965,50.5537138329035,463954,499879,963833,48.1363472717784,51.8636527282216,"4.0102068836357985",48.1981421320916,51.8018578679084,0.25,0.75,74.8,50.7,0.25,0,0.25,8.9,44.1,0.25,0.25,23.9,4.43063569676392
"Denmark",120724,134941,255665,47.2196037783819,52.7803962216181,357366,365512,722878,49.4365577594006,50.5634422405994,"0.41888713808899797",47.032615700416,52.967384299584,0,0.5,0,32,0.75,0,0,37.4,74.6,0,0,0.1,3.09018281290586
"Djibouti",9491,9186,18677,50.8165122878407,49.1834877121593,60654,54687,115341,52.5866777641949,47.4133222358051,"2.5725281076862947",29.0543357125235,70.9456642874765,1,0.5,63,15,0.25,0.25,0.25,10.8,58.5,0.75,0.5,2.6,4.95439349557371
"Dominican_Republic",643958,914752,1558710,41.3135220791552,58.6864779208448,365261,202387,567648,64.3463907210102,35.6536092789898,"8.3432556329114025",40.160526065108,59.839473934892,0,0.25,2,20.4,1,0,0,26.8,61.2,0,0.5,27.4,3.4096645799331
"Ecuador",557747,625997,1183744,47.117197637327,52.882802362673,197162,184345,381507,51.6797856920057,48.3202143079943,"2.9994857429601542",41.4000175978966,58.5999824021034,0.25,0.5,25.2,37.5,1,0,0.25,38,67.6,0,0.5,21.9,4.91618511124763
"Egypt,_Arab_Rep.",2295425,1252452,3547877,64.698550710749,35.301449289251,271048,233005,504053,53.7737103042736,46.2262896957264,"8.83638759136431",18.6482378611814,81.3517621388186,1,0.75,35.7,45.3,0.25,1,0.25,14.9,61,0.75,0.25,14.8,6.27408282148833
"El_Salvador",795952,804975,1600927,49.7181945210494,50.2818054789506,20269,22348,42617,47.5608325316188,52.4391674683812,"21.043580068561081",41.198406276418,58.801593723582,0.25,0.5,7.7,26.3,1,0,0.25,32.1,64.3,0.25,0.25,21,4.2316432818888
"Equatorial_Guinea",67324,58346,125670,53.5720537916766,46.4279462083234,175403,52214,227617,77.0605886203579,22.9394113796421,"0",42.0119933673044,57.9880066326956,0.25,1,52.6,56.9,1,0,0.5,20,46.9,0,0.5,23.8,5.56781948462265
"Estonia",93795,114475,208270,45.0352907283814,54.9647092716186,80616,109626,190242,42.3755006780837,57.6244993219163,"1.7435073482493124",48.5907749952164,51.4092250047836,0,0.25,16.9,20,0.75,0,0.5,26.7,75.4,0,0.5,0.5,3.12151024292196
"Eswatini",51287,45845,97132,52.8013425029856,47.1986574970144,16582,15728,32310,51.3215722686475,48.6784277313525,"2.6406030337997608",47.0888386032718,52.9111613967282,0.75,0.75,19.9,8.2,1,0.75,0.25,6.2,52.4,0.75,0.5,4,5.29458358921792
"Ethiopia",463581,408293,871874,53.1706416294098,46.8293583705902,637963,615120,1253083,50.9114719455934,49.0885280544066,"0.50006382073875488",46.5212826920858,53.4787173079142,0.25,0.5,63,28,0.25,0,0.5,38.8,66.1,0.25,0.5,22.5,4.85123105541198
"Fiji",105570,117158,222728,47.3986207391976,52.6013792608024,7576,6462,14038,53.9678016811512,46.0321983188488,"5.2277415764115833",33.5086734241556,66.4913265758444,0.25,0.75,42.6,64.1,1,0,0.5,16,73.8,0.25,0.25,8.5,5.36112923424325
"Finland",112375,177667,290042,38.7443887436992,61.2556112563008,196188,186928,383116,51.2085112602971,48.7914887397029,"0.29688353529437422",47.8524967785549,52.1475032214451,0,0.75,11.2,30,1,0,0,42,91.1,0,0.5,0.3,4.77654771505578
"France",1122781,1174163,2296944,48.8815138723452,51.1184861276548,4019290,4315585,8334875,48.2225588266171,51.7774411733829,"1.1002620999408959",48.442369384894,51.557630615106,0.25,0.25,6.6,26,0.25,0,0,39,58.5,0,0.5,2.8,2.75746124814937
"Gabon",22351,24337,46688,47.8731151473612,52.1268848526388,264758,146705,411463,64.3455183090582,35.6544816909418,"0.08296588601609807",39.4559622564601,60.5440377435399,0.25,0.75,50.2,48.6,0.75,0,0,17.1,46.9,0.25,1,15,5.30511249051471
"Gambia",77979,40506,118485,65.813394100519,34.1866058994809,113552,101854,215406,52.7153375486291,47.2846624513709,"15.208637419111684",46.9508637886258,53.0491362113742,1,0.5,58.4,20.1,0.25,0,0.5,10.3,68.4,0.75,0.5,25.5,5.40388378498451
"Georgia",425131,427695,852826,49.8496762528347,50.1503237471653,34583,44452,79035,43.7565635477953,56.2434364522047,"12.925901742262507",47.0124668879435,52.9875331120565,0.25,0.75,8.6,6.1,1,0,0.25,16,66.3,0,0.5,14.4,3.79497493929336
"Germany",1870506,2144264,4014770,46.5906141572245,53.4093858427755,6881990,6250156,13132146,52.4056768787067,47.5943231212933,"0.48170303233294681",46.6013643415403,53.3986356584597,0,0.75,19.6,22,0.25,0,0.5,30.7,55.3,0,0.25,0.4,2.76871654474284
"Ghana",510404,460310,970714,52.5802656601223,47.4197343398777,249224,217556,466780,53.3921761857835,46.6078238142165,"5.9318712063328327",47.8362334704392,52.1637665295608,0.75,0.75,28.3,24.4,0.25,0,0.5,12.7,46.8,0.25,0.5,8,3.79980832358491
"Greece",543312,496189,1039501,52.2666163861314,47.7333836138686,560208,651174,1211382,46.2453627344636,53.7546372655364,"0.3295027481269871",44.5515296474924,55.4484703525076,0.5,0.25,2,19,1,0,0.25,18.3,62.1,0,0.5,1.9,3.18704698532502
"Guatemala",595851,609860,1205711,49.4190564737321,50.5809435262679,38117,42304,80421,47.3968242125813,52.6031757874187,"13.807882863396525",32.0646615137626,67.9353384862374,0.25,0.75,11,18,1,0.75,0.25,12.7,70.2,0,0.25,21.6,4.70394617556537
"Guinea-Bissau",54776,48812,103588,52.8787118199019,47.1212881800981,12990,13926,26916,48.2612572447615,51.7387427552385,"1.1763120572332677",41.3870763261048,58.6129236738952,0.75,0.75,92.1,80,0.25,1,0,21.9,48.2,0.25,1,34.3,8.05081527442312
"Guinea-Bissau",54776,48812,103588,52.8787118199019,47.1212881800981,12990,13926,26916,48.2612572447615,51.7387427552385,"10.501612093339945",45.0596983742543,54.9403016257457,0.75,0.75,41.8,26,0.75,0,0.5,13.7,46.8,0.25,0.5,11.8,4.64598609987425
"Guyana",238880,281658,520538,45.890982022446,54.109017977554,8398,7301,15699,53.4938531116632,46.5061468883368,"7.351682081594384",40.2538505819749,59.7461494180251,0,0.75,10.2,19.5,1,0,0.25,31.9,50.9,0,0.5,0.7,3.51863865527051
"Haiti",856250,729794,1586044,53.9865224420003,46.0134775579997,10426,8330,18756,55.5875453188313,44.4124546811687,"20.466538525739541",47.8715863557461,52.1284136442539,0.25,0.75,58.9,20.8,1,1,0.25,2.5,51.3,0,1,6.7,5.58154632694252
"Honduras",328710,472028,800738,41.0508805626809,58.9491194373191,20440,18493,38933,52.5004494901497,47.4995505098503,"21.528380342442318",36.2758730745441,63.7241269254559,0,0.25,12.4,21.6,1,0,0,21.1,65.7,0,0.5,27.3,3.56753872613223
"Hungary",315888,316381,632269,49.9610134294106,50.0389865705894,253884,258159,512043,49.5825545901418,50.4174454098582,"2.983430196159357",44.8298692831379,55.1701307168621,0.5,0.75,8.7,21,1,0,0.5,10.1,71.2,0,0.5,0.7,3.99161980071053
"Iceland",20783,21405,42188,49.2628235517209,50.7371764482791,27554,24850,52404,52.5799557285703,47.4200442714297,"0.74363039051925439",45.8297697107922,54.1702302892078,0,0.25,9.9,22.4,0.75,0,0,38.1,85.8,0,0.5,0.5,3.51376366718252
"India",11444272,6069261,17513533,65.3453075401748,34.6546924598252,2640513,2514224,5154737,51.2249800523286,48.7750199476714,"2.9429822038789819",23.3574942512785,76.6425057487215,0.5,0.5,22.1,28.7,1,0,0.25,11.8,58,0.25,0.5,21.5,4.44691265334738
"Indonesia",2492075,2040973,4533048,54.9757028824755,45.0242971175245,205451,147684,353135,58.1791666076713,41.8208333923287,"1.0424802459520579",39.4659002183875,60.5340997816125,1,0.75,34.5,18.3,1,0,0.25,19.8,81.2,1,0.5,13.8,6.55954257535784
"Iraq",1039132,994657,2033789,51.0934025112733,48.9065974887267,214288,153774,368062,58.2206258728149,41.7793741271851,"0.36775139119737316",13.8463560331848,86.1536439668152,1,0.75,54.8,21.2,1,0.75,0.25,25.3,29.7,0.75,0.5,20.3,6.59132456654319
"Ireland",372450,444458,816908,45.5926493558638,54.4073506441362,414452,419112,833564,49.7204773718635,50.2795226281365,"0.14692067349964449",45.9227304680475,54.0772695319525,0,0.25,1,15,0,0,0,22.2,61.5,0,0.5,0.3,1.63064704392278
"Israel",190683,179357,370040,51.5303750945844,48.4696249054156,887768,1068578,1956346,45.3788849211745,54.6211150788255,"0.23688691910041104",47.6041004546418,52.3958995453582,0.25,0.75,1.5,20.4,1,0.5,0.25,27.5,68.8,0.75,0.5,2.5,5.22912142259872
"Italy",1645383,1433314,3078697,53.4441356197118,46.5558643802882,2908119,3365603,6273722,46.353966592718,53.646033407282,"0.51998729405761712",42.7511103957436,57.2488896042564,0,0.75,5.3,19,0.25,0,0,31,59.2,0,0.5,0.2,2.82435420753033
"Jamaica",473877,637682,1111559,42.6317451435326,57.3682548564674,11920,11548,23468,50.7925686040566,49.2074313959434,"16.187098476382321",45.3279344931157,54.6720655068843,0,0.75,4.9,19.7,1,0,0.5,17.5,66.6,0,0.75,3.8,3.78336378318967
"Japan",378889,460068,838957,45.1619093708021,54.8380906291979,1208168,1290723,2498891,48.3481672469908,51.6518327530092,"0.085661735928472718",44.4404792669486,55.5595207330514,0,0.75,8.9,15.4,1,0,0.5,10.1,66.1,0,0.5,0.6,3.28587621030348
"Jordan",500347,284081,784428,63.7849490329259,36.2150509670741,1685358,1661345,3346703,50.3587560652977,49.6412439347023,"10.340347603546531",16.51910409376,83.48089590624,1,0.75,18,23.6,1,0.75,0.25,15.4,75.9,0.75,0.5,11.3,6.63046285446605
"Kazakhstan",1865459,2140177,4005636,46.5708566629619,53.4291433370381,1836893,1868663,3705556,49.5713193917458,50.4286806082542,"0.27857314280511569",50.2328132812447,49.7671867187553,0,0.75,14.2,16.5,1,0,0.5,27.1,66.1,0.25,0.5,6.5,4.12797832204443
"Kenya",247290,278253,525543,47.0541896666876,52.9458103333124,522321,522533,1044854,49.9898550419484,50.0101449580516,"2.8274559777795827",49.4308433332894,50.5691566667106,0.75,0.5,41.8,39.4,0.25,0,0.25,21.8,58.2,0.25,0.25,13.2,4.2306154867611
"Kuwait",124825,80616,205441,60.7595368013201,39.2404631986799,2013803,1021042,3034845,66.3560412475761,33.6439587524239,"0.018870033826468659",24.2717732014407,75.7282267985593,1,0.75,37,27.7,1,1,0.5,3.1,46.9,0.75,0.75,5.6,6.50457127797696
